day,Aleppo,Damascus,Damascus Suburbs,Daraa,Deir Ezzor,Hama,Hasakeh,Homs,Idlib,Lattakia,Quneitra,Raqqa,Sweida,Tartous
2011-08-13,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-08-14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,1.0
2011-08-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,7.0,0.0,0.0,0.0,0.0
2011-08-16,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2011-08-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0
2011-08-18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-19,0.0,0.0,3.0,7.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0
2011-08-20,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0
2011-08-21,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-22,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0
2011-08-23,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-24,0.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
2011-08-25,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0
2011-08-26,0.0,0.0,1.0,1.0,6.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0
2011-08-27,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2011-08-28,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2011-08-29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-30,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-31,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2011-09-01,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2011-09-02,0.0,0.0,6.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-03,0.0,0.0,1.0,0.0,1.0,2.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0
2011-09-04,1.0,0.0,1.0,17.0,1.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0
2011-09-05,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0
2011-09-06,1.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0
2011-09-07,2.0,1.0,0.0,3.0,1.0,8.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,3.0
2011-09-08,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
2011-09-09,0.0,2.0,2.0,0.0,1.0,1.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0
2011-09-10,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
2011-09-11,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-12,0.0,0.0,1.0,0.0,1.0,11.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
2011-09-13,2.0,0.0,1.0,0.0,4.0,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
2011-09-14,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
2011-09-15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
